scenario,variant,cbam,tax_level,subsidy_tax_level,subsidy_level,oba_benchmark,oba_tax_level
OBA,CBAM,1,NA,NA,NA,0.1,0
OBA,CBAM,1,NA,NA,NA,0.1,5
OBA,CBAM,1,NA,NA,NA,0.1,10
OBA,CBAM,1,NA,NA,NA,0.1,15
OBA,CBAM,1,NA,NA,NA,0.1,20
OBA,CBAM,1,NA,NA,NA,0.1,25
OBA,CBAM,1,NA,NA,NA,0.1,30
OBA,CBAM,1,NA,NA,NA,0.1,35
OBA,CBAM,1,NA,NA,NA,0.1,40
OBA,CBAM,1,NA,NA,NA,0.1,45
OBA,CBAM,1,NA,NA,NA,0.1,50
OBA,CBAM,1,NA,NA,NA,0.1,55
OBA,CBAM,1,NA,NA,NA,0.1,60
OBA,CBAM,1,NA,NA,NA,0.1,65
OBA,CBAM,1,NA,NA,NA,0.1,70
OBA,CBAM,1,NA,NA,NA,0.1,75
OBA,CBAM,1,NA,NA,NA,0.1,80
OBA,CBAM,1,NA,NA,NA,0.1,85
OBA,CBAM,1,NA,NA,NA,0.1,90
OBA,CBAM,1,NA,NA,NA,0.1,95
OBA,CBAM,1,NA,NA,NA,0.1,100
OBA,CBAM,1,NA,NA,NA,0.1,105
OBA,CBAM,1,NA,NA,NA,0.1,110
OBA,CBAM,1,NA,NA,NA,0.1,115
OBA,CBAM,1,NA,NA,NA,0.1,120
OBA,CBAM,1,NA,NA,NA,0.1,125
OBA,CBAM,1,NA,NA,NA,0.1,130
OBA,CBAM,1,NA,NA,NA,0.1,135
OBA,CBAM,1,NA,NA,NA,0.1,140
OBA,CBAM,1,NA,NA,NA,0.1,145
OBA,CBAM,1,NA,NA,NA,0.1,150
OBA,CBAM,1,NA,NA,NA,0.15,0
OBA,CBAM,1,NA,NA,NA,0.15,5
OBA,CBAM,1,NA,NA,NA,0.15,10
OBA,CBAM,1,NA,NA,NA,0.15,15
OBA,CBAM,1,NA,NA,NA,0.15,20
OBA,CBAM,1,NA,NA,NA,0.15,25
OBA,CBAM,1,NA,NA,NA,0.15,30
OBA,CBAM,1,NA,NA,NA,0.15,35
OBA,CBAM,1,NA,NA,NA,0.15,40
OBA,CBAM,1,NA,NA,NA,0.15,45
OBA,CBAM,1,NA,NA,NA,0.15,50
OBA,CBAM,1,NA,NA,NA,0.15,55
OBA,CBAM,1,NA,NA,NA,0.15,60
OBA,CBAM,1,NA,NA,NA,0.15,65
OBA,CBAM,1,NA,NA,NA,0.15,70
OBA,CBAM,1,NA,NA,NA,0.15,75
OBA,CBAM,1,NA,NA,NA,0.15,80
OBA,CBAM,1,NA,NA,NA,0.15,85
OBA,CBAM,1,NA,NA,NA,0.15,90
OBA,CBAM,1,NA,NA,NA,0.15,95
OBA,CBAM,1,NA,NA,NA,0.15,100
OBA,CBAM,1,NA,NA,NA,0.15,105
OBA,CBAM,1,NA,NA,NA,0.15,110
OBA,CBAM,1,NA,NA,NA,0.15,115
OBA,CBAM,1,NA,NA,NA,0.15,120
OBA,CBAM,1,NA,NA,NA,0.15,125
OBA,CBAM,1,NA,NA,NA,0.15,130
OBA,CBAM,1,NA,NA,NA,0.15,135
OBA,CBAM,1,NA,NA,NA,0.15,140
OBA,CBAM,1,NA,NA,NA,0.15,145
OBA,CBAM,1,NA,NA,NA,0.15,150
